language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08"
JSX,Frontend/src/features/activeIssues/components/ActiveIssuesView.jsx,17,8,189
JSX,Frontend/src/features/finishedIssueDialog/models/ModelsSection.jsx,15,5,189
JavaScript,Frontend/src/features/admin/experts/hooks/useAdminExpertsSection.js,34,6,187
JavaScript,Backend/modules/issues/active/buildActiveIssueView.js,14,0,185
JavaScript,Backend/models/IssueScenarios.js,12,0,184
JavaScript,Backend/modules/issues/creation/initialCriteriaWeights/validateCriteriaWeightPayload.js,26,0,179
JavaScript,Backend/modules/decisionEngine/evaluations/structures/alternativeCriteriaMatrix/alternativeCriteriaMatrix.payload.js,33,0,177
JavaScript,Backend/modules/issues/creation/initialCriteriaWeights/runCriteriaWeightApiModel.js,18,0,177
JSX,Frontend/src/features/finishedIssueDialog/components/FinishedIssueDialogPrimitives.jsx,17,24,177
JavaScript,Backend/modules/decisionEngine/evaluations/structures/bestWorstCriteria/bestWorstCriteria.payload.js,30,0,176
Python,ApiModels/models/herrera_viedma_crp/herrera_viedma_crp_model.py,27,2,175
JavaScript,Backend/modules/admin/issueReads/getIssueExpertsProgressPayload.js,19,0,175
JavaScript,Frontend/src/features/admin/models/logic/buildModelManifestRows.js,24,0,175
JSX,Frontend/src/features/issueEvaluation/structures/bestWorstCriteria/BestWorstCriteriaEvaluationDialog.jsx,26,0,173
JSX,Frontend/src/features/issueExperts/components/IssueExpertsSection.jsx,17,9,173
JavaScript,Backend/models/Issues.js,2,0,172
JavaScript,Frontend/src/features/createIssue/logic/createIssuePayload.js,13,0,170
JavaScript,Backend/modules/decisionEngine/modelParameters/modelParameter.shared.js,41,0,169
JavaScript,Backend/modules/decisionEngine/modelParameters/handlers/criterionMap.parameter.js,35,0,167
JavaScript,Frontend/src/features/finishedIssueDialog/hooks/useFinishedIssueRatingsView.js,31,27,164
JSX,Frontend/src/features/admin/issues/AdminIssuesSection.jsx,21,0,163
JSX,Frontend/src/features/admin/models/components/ModelsTable.jsx,13,0,161
JavaScript,Backend/modules/admin/issueReads/adminIssueProgress.js,22,0,160
JavaScript,Backend/modules/issues/lifecycle/leaveActiveIssue.js,23,0,160
